datafile_id,sequencing_id,submitter_id,data_type,data_category,data_format,file_name,file_size,md5sum,file_path,node
CBCGA_L1_24_sampleA_20201106_R1.fastq.gz,sequence_CBCGA_L1_24_sampleA_20201106,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R20054117-L1-24-sampleA_combined_R1.fastq.gz,5892221302 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s187g01096_48Samples_20201106/Sample_R20054117-L1-24-sampleA/R20054117-L1-24-sampleA_combined_R1.fastq.gz,
CBCGA_L1_24_sampleA_20201106_R2.fastq.gz,sequence_CBCGA_L1_24_sampleA_20201106,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R20054117-L1-24-sampleA_combined_R2.fastq.gz,6265685600 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s187g01096_48Samples_20201106/Sample_R20054117-L1-24-sampleA/R20054117-L1-24-sampleA_combined_R2.fastq.gz,
CBCGA_L2_24_sampleB_20201106_R1.fastq.gz,sequence_CBCGA_L2_24_sampleB_20201106,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R20054141-L2-24-sampleB_combined_R1.fastq.gz,5092813774 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s187g01096_48Samples_20201106/Sample_R20054141-L2-24-sampleB/R20054141-L2-24-sampleB_combined_R1.fastq.gz,
CBCGA_L2_24_sampleB_20201106_R2.fastq.gz,sequence_CBCGA_L2_24_sampleB_20201106,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R20054141-L2-24-sampleB_combined_R2.fastq.gz,5352940271 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s187g01096_48Samples_20201106/Sample_R20054141-L2-24-sampleB/R20054141-L2-24-sampleB_combined_R2.fastq.gz,
CBCGA_L26_32_MAQC_A_20210308_R1.fastq.gz,sequence_CBCGA_L26_32_MAQC_A_20210308,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21018489-L26-32-MAQC-A_combined_R1.fastq.gz,5386427379 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01005_82samples_20210308/Sample_R21018489-L26-32-MAQC-A/R21018489-L26-32-MAQC-A_combined_R1.fastq.gz,
CBCGA_L26_32_MAQC_A_20210308_R2.fastq.gz,sequence_CBCGA_L26_32_MAQC_A_20210308,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21018489-L26-32-MAQC-A_combined_R2.fastq.gz,5628511352 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01005_82samples_20210308/Sample_R21018489-L26-32-MAQC-A/R21018489-L26-32-MAQC-A_combined_R2.fastq.gz,
CBCGA_L27_32_MAQC_B_20210308_R1.fastq.gz,sequence_CBCGA_L27_32_MAQC_B_20210308,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21018521-L27-32-MAQC-B_combined_R1.fastq.gz,4772058868 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01005_82samples_20210308/Sample_R21018521-L27-32-MAQC-B/R21018521-L27-32-MAQC-B_combined_R1.fastq.gz,
CBCGA_L27_32_MAQC_B_20210308_R2.fastq.gz,sequence_CBCGA_L27_32_MAQC_B_20210308,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21018521-L27-32-MAQC-B_combined_R2.fastq.gz,4989573756 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01005_82samples_20210308/Sample_R21018521-L27-32-MAQC-B/R21018521-L27-32-MAQC-B_combined_R2.fastq.gz,
CBCGA_L28_27_MAQC_A_20210308_R1.fastq.gz,sequence_CBCGA_L28_27_MAQC_A_20210308,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21018548-L28-27-MAQC-A_combined_R1.fastq.gz,5304585069 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01005_82samples_20210308/Sample_R21018548-L28-27-MAQC-A/R21018548-L28-27-MAQC-A_combined_R1.fastq.gz,
CBCGA_L28_27_MAQC_A_20210308_R2.fastq.gz,sequence_CBCGA_L28_27_MAQC_A_20210308,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21018548-L28-27-MAQC-A_combined_R2.fastq.gz,5644526595 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01005_82samples_20210308/Sample_R21018548-L28-27-MAQC-A/R21018548-L28-27-MAQC-A_combined_R2.fastq.gz,
CBCGA_L29_32_MAQCA_20210513_R1.fastq.gz,sequence_CBCGA_L29_32_MAQCA_20210513,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21037110-L29-32-MAQCA_combined_R1.fastq.gz,5139197275 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01007_83Samples_20210513/Sample_R21037110-L29-32-MAQCA/R21037110-L29-32-MAQCA_combined_R1.fastq.gz,
CBCGA_L29_32_MAQCA_20210513_R2.fastq.gz,sequence_CBCGA_L29_32_MAQCA_20210513,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21037110-L29-32-MAQCA_combined_R2.fastq.gz,5335642240 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01007_83Samples_20210513/Sample_R21037110-L29-32-MAQCA/R21037110-L29-32-MAQCA_combined_R2.fastq.gz,
CBCGA_L31_29_MAQCA_20210513_R1.fastq.gz,sequence_CBCGA_L31_29_MAQCA_20210513,CBCGA,Unaligned Reads,RNA-seq,FASTQ,R21037163-L31-29-MAQCA_combined_R1.fastq.gz,6202883252 ,,oss://pgx-source-data/CBCGA2020/RNA-seq/Project_s1616g01007_83Samples_20210513/Sample_R21037163-L31-29-MAQCA/R21037163-L31-29-MAQCA_combined_R1.fastq.gz,
