datafile_id,file_name,sequencing_id,submitter_id,data_type,data_category,data_format,file_size,md5sum,file_path,node
SRR1215996_1.fastq.gz,SRR1215996_1.fastq.gz,sequence_GSM1361974,GSE47774,Unaligned Reads,RNA-seq,FASTQ,989085995 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215996_1.fastq.gz,
SRR1215996_2.fastq.gz,SRR1215996_2.fastq.gz,sequence_GSM1361974,GSE47774,Unaligned Reads,RNA-seq,FASTQ,997137981 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215996_2.fastq.gz,
SRR1215997_1.fastq.gz,SRR1215997_1.fastq.gz,sequence_GSM1361975,GSE47774,Unaligned Reads,RNA-seq,FASTQ,967250962 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215997_1.fastq.gz,
SRR1215997_2.fastq.gz,SRR1215997_2.fastq.gz,sequence_GSM1361975,GSE47774,Unaligned Reads,RNA-seq,FASTQ,976630978 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215997_2.fastq.gz,
SRR1215998_1.fastq.gz,SRR1215998_1.fastq.gz,sequence_GSM1361976,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1001842951 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215998_1.fastq.gz,
SRR1215998_2.fastq.gz,SRR1215998_2.fastq.gz,sequence_GSM1361976,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1001346719 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215998_2.fastq.gz,
SRR1215999_1.fastq.gz,SRR1215999_1.fastq.gz,sequence_GSM1361977,GSE47774,Unaligned Reads,RNA-seq,FASTQ,986273505 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215999_1.fastq.gz,
SRR1215999_2.fastq.gz,SRR1215999_2.fastq.gz,sequence_GSM1361977,GSE47774,Unaligned Reads,RNA-seq,FASTQ,992074541 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1215999_2.fastq.gz,
SRR1216000_1.fastq.gz,SRR1216000_1.fastq.gz,sequence_GSM1361978,GSE47774,Unaligned Reads,RNA-seq,FASTQ,966941380 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216000_1.fastq.gz,
SRR1216000_2.fastq.gz,SRR1216000_2.fastq.gz,sequence_GSM1361978,GSE47774,Unaligned Reads,RNA-seq,FASTQ,978753556 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216000_2.fastq.gz,
SRR1216001_1.fastq.gz,SRR1216001_1.fastq.gz,sequence_GSM1361979,GSE47774,Unaligned Reads,RNA-seq,FASTQ,986956881 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216001_1.fastq.gz,
SRR1216001_2.fastq.gz,SRR1216001_2.fastq.gz,sequence_GSM1361979,GSE47774,Unaligned Reads,RNA-seq,FASTQ,993279193 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216001_2.fastq.gz,
SRR1216002_1.fastq.gz,SRR1216002_1.fastq.gz,sequence_GSM1361980,GSE47774,Unaligned Reads,RNA-seq,FASTQ,981458552 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216002_1.fastq.gz,
SRR1216002_2.fastq.gz,SRR1216002_2.fastq.gz,sequence_GSM1361980,GSE47774,Unaligned Reads,RNA-seq,FASTQ,988307480 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216002_2.fastq.gz,
SRR1216003_1.fastq.gz,SRR1216003_1.fastq.gz,sequence_GSM1361981,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1021311196 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216003_1.fastq.gz,
SRR1216003_2.fastq.gz,SRR1216003_2.fastq.gz,sequence_GSM1361981,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1029613481 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216003_2.fastq.gz,
SRR1216004_1.fastq.gz,SRR1216004_1.fastq.gz,sequence_GSM1361982,GSE47774,Unaligned Reads,RNA-seq,FASTQ,998636667 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216004_1.fastq.gz,
SRR1216004_2.fastq.gz,SRR1216004_2.fastq.gz,sequence_GSM1361982,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1008447057 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216004_2.fastq.gz,
SRR1216005_1.fastq.gz,SRR1216005_1.fastq.gz,sequence_GSM1361983,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1037514495 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216005_1.fastq.gz,
SRR1216005_2.fastq.gz,SRR1216005_2.fastq.gz,sequence_GSM1361983,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1036698876 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216005_2.fastq.gz,
SRR1216006_1.fastq.gz,SRR1216006_1.fastq.gz,sequence_GSM1361984,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1019049287 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216006_1.fastq.gz,
SRR1216006_2.fastq.gz,SRR1216006_2.fastq.gz,sequence_GSM1361984,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1025136052 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216006_2.fastq.gz,
SRR1216007_1.fastq.gz,SRR1216007_1.fastq.gz,sequence_GSM1361985,GSE47774,Unaligned Reads,RNA-seq,FASTQ,997627664 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216007_1.fastq.gz,
SRR1216007_2.fastq.gz,SRR1216007_2.fastq.gz,sequence_GSM1361985,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1009993390 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216007_2.fastq.gz,
SRR1216008_1.fastq.gz,SRR1216008_1.fastq.gz,sequence_GSM1361986,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1018996689 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216008_1.fastq.gz,
SRR1216008_2.fastq.gz,SRR1216008_2.fastq.gz,sequence_GSM1361986,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1025307828 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216008_2.fastq.gz,
SRR1216009_1.fastq.gz,SRR1216009_1.fastq.gz,sequence_GSM1361987,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1014273640 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216009_1.fastq.gz,
SRR1216009_2.fastq.gz,SRR1216009_2.fastq.gz,sequence_GSM1361987,GSE47774,Unaligned Reads,RNA-seq,FASTQ,1021558938 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216009_2.fastq.gz,
SRR1216010_1.fastq.gz,SRR1216010_1.fastq.gz,sequence_GSM1361988,GSE47774,Unaligned Reads,RNA-seq,FASTQ,891634874 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216010_1.fastq.gz,
SRR1216010_2.fastq.gz,SRR1216010_2.fastq.gz,sequence_GSM1361988,GSE47774,Unaligned Reads,RNA-seq,FASTQ,898707360 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216010_2.fastq.gz,
SRR1216011_1.fastq.gz,SRR1216011_1.fastq.gz,sequence_GSM1361989,GSE47774,Unaligned Reads,RNA-seq,FASTQ,871803590 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216011_1.fastq.gz,
