datafile_id,sequencing_id,submitter_id,data_type,data_category,data_format,file_name,file_size,md5sum,file_path,node
HiseVsXten_Hiseq_A_1_R1.fastq.gz,sequence_HiseVsXten_Hiseq_A_1,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_A_2_R1.fastq.gz,sequence_HiseVsXten_Hiseq_A_2,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_A_3_R1.fastq.gz,sequence_HiseVsXten_Hiseq_A_3,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_XTen_A_1_R1.fastq.gz,sequence_HiseVsXten_XTen_A_1,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_XTen_A_2_R1.fastq.gz,sequence_HiseVsXten_XTen_A_2,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_XTen_A_3_R1.fastq.gz,sequence_HiseVsXten_XTen_A_3,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_B_1_R1.fastq.gz,sequence_HiseVsXten_Hiseq_B_1,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_B_2_R1.fastq.gz,sequence_HiseVsXten_Hiseq_B_2,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_B_3_R1.fastq.gz,sequence_HiseVsXten_Hiseq_B_3,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_XTen_B_1_R1.fastq.gz,sequence_HiseVsXten_XTen_B_1,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_XTen_B_2_R1.fastq.gz,sequence_HiseVsXten_XTen_B_2,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_XTen_B_3_R1.fastq.gz,sequence_HiseVsXten_XTen_B_3,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_A_1_R2.fastq.gz,sequence_HiseVsXten_Hiseq_A_1,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_A_2_R2.fastq.gz,sequence_HiseVsXten_Hiseq_A_2,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
HiseVsXten_Hiseq_A_3_R2.fastq.gz,sequence_HiseVsXten_Hiseq_A_3,Hiseq2500.vs.Xten,Unaligned Reads,RNA-seq,FASTQ,,,,,
