datafile_id,sequencing_id,submitter_id,data_type,data_category,data_format,file_name,file_size,md5sum,file_path,node
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618_CleanData_R1.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618_CleanData_R1.fastq.gz,11097151218 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618_CleanData_R1.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618_CleanData_R2.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618_CleanData_R2.fastq.gz,11477284013 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618_CleanData_R2.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618_CleanData_R1.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618_CleanData_R1.fastq.gz,7831393208 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618_CleanData_R1.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618_CleanData_R2.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618_CleanData_R2.fastq.gz,7959661438 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618_CleanData_R2.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618_CleanData_R1.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618_CleanData_R1.fastq.gz,7612207942 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618_CleanData_R1.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618_CleanData_R2.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618_CleanData_R2.fastq.gz,7738638385 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618_CleanData_R2.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618_CleanData_R1.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618_CleanData_R1.fastq.gz,7682139012 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618_CleanData_R1.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618_CleanData_R2.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618_CleanData_R2.fastq.gz,7850878521 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618_CleanData_R2.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618_CleanData_R1.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618_CleanData_R1.fastq.gz,8079673653 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618_CleanData_R1.fastq.gz,
Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618_CleanData_R2.fastq.gz,sequence_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618,Quartet_RNA_Project,Unaligned Reads,RNA-seq,FASTQ,Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618_CleanData_R2.fastq.gz,8189175384 ,,oss://chinese-quartet/quartet-storage-data/RNA_seq/PolyA_BGI2000_BGI_RNA/CleanData/Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618_CleanData_R2.fastq.gz,
