datafile_id,sequencing_id,submitter_id,data_type,data_category,data_format,file_name,file_size,md5sum,file_path,node
SRR299025.fastq.gz,sequence_GSM749465,GSE30222,Unaligned Reads,RNA-seq,FASTQ,SRR299025.fastq.gz,2236738858 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE30222/SRR299025.fastq.gz,
SRR299026.fastq.gz,sequence_GSM749466,GSE30222,Unaligned Reads,RNA-seq,FASTQ,SRR299026.fastq.gz,1986534656 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE30222/SRR299026.fastq.gz,
SRR299027.fastq.gz,sequence_GSM749467,GSE30222,Unaligned Reads,RNA-seq,FASTQ,SRR299027.fastq.gz,6370976535 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE30222/SRR299027.fastq.gz,
SRR299028.fastq.gz,sequence_GSM749468,GSE30222,Unaligned Reads,RNA-seq,FASTQ,SRR299028.fastq.gz,5176032011 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE30222/SRR299028.fastq.gz,
SRR902865.fastq.gz,sequence_GSM1166026,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902865.fastq.gz,335346870 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902865.fastq.gz,
SRR902866.fastq.gz,sequence_GSM1166027,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902866.fastq.gz,342435978 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902866.fastq.gz,
SRR902867.fastq.gz,sequence_GSM1166028,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902867.fastq.gz,89778231 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902867.fastq.gz,
SRR902868.fastq.gz,sequence_GSM1166029,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902868.fastq.gz,73962805 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902868.fastq.gz,
SRR902869.fastq.gz,sequence_GSM1166030,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902869.fastq.gz,117682097 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902869.fastq.gz,
SRR902870.fastq.gz,sequence_GSM1166031,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902870.fastq.gz,94113507 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902870.fastq.gz,
SRR902871.fastq.gz,sequence_GSM1166032,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902871.fastq.gz,148185814 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902871.fastq.gz,
SRR902872.fastq.gz,sequence_GSM1166033,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902872.fastq.gz,151598031 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902872.fastq.gz,
SRR902873.fastq.gz,sequence_GSM1166034,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902873.fastq.gz,263879555 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902873.fastq.gz,
SRR902874.fastq.gz,sequence_GSM1166034,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902874.fastq.gz,264955220 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902874.fastq.gz,
SRR902875.fastq.gz,sequence_GSM1166035,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902875.fastq.gz,198801877 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902875.fastq.gz,
SRR902876.fastq.gz,sequence_GSM1166035,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902876.fastq.gz,214021189 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902876.fastq.gz,
SRR902877.fastq.gz,sequence_GSM1166036,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902877.fastq.gz,242355594 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902877.fastq.gz,
SRR902878.fastq.gz,sequence_GSM1166036,GSE48032,Unaligned Reads,RNA-seq,FASTQ,SRR902878.fastq.gz,267106869 ,,oss://pgx-source-data/SampleAB/rawdata/published/GSE48032/SRR902878.fastq.gz,
