library_id,rm_id,input_ng,enrich_kit,preparation_kit,fragment_method,fragment_selection,fragment_range,pcr_cycle,preparation_date,spike_in,qc_concentration,qc_size,preparation_method,experiment,batch,stranded,preparation_site
library_Quartet_4family_SA_3_20201104,Sample A,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SA_1_20201104,Sample A,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SA_2_20201104,Sample A,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SA_4_20201104,Sample A,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SB_4_20201104,Sample B,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SB_3_20201104,Sample B,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SB_1_20201104,Sample B,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_Quartet_4family_SB_2_20201104,Sample B,500,,,,,,,,NA,,,RiboDepletion,Quartet_4family_RNA,,,FDU
library_FDUVAZ_FV1_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV1_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV1_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV2_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV2_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV2_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV3_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV3_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV3_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV4_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV4_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV4_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV5_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV5_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV5_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_VF1_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF1_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF1_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF2_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF2_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF2_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF3_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF3_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF3_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF4_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF4_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF4_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF5_5_SampleA_1_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF5_11_SampleA_2_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF5_17_SampleA_3_20210508,Sample A,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_FV1_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV1_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV1_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV2_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV2_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV2_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV3_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV3_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV3_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV4_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV4_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV4_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV5_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV5_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_FV5_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,FDU
library_FDUVAZ_VF1_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF1_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF1_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF2_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF2_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF2_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF3_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF3_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF3_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF4_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF4_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF4_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF5_6_SampleB_1_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF5_12_SampleB_2_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
library_FDUVAZ_VF5_18_SampleB_3_20210508,Sample B,,,,,,,,,NA,,,RiboDepletion,VAZ_FDU_Join_Project,,,VAZ
