library_id,rm_id,input_ng,enrich_kit,preparation_kit,fragment_method,fragment_selection,fragment_range,pcr_cycle,preparation_date,spike_in,qc_concentration,qc_size,preparation_method,experiment,batch,stranded,preparation_site
library_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_1_20200618,Sample A,500,,N406+NRM604,,,,14,2020/6/12,,,,PolyA,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_2_20200618,Sample A,500,,N406+NRM604,,,,14,2020/6/12,,,,PolyA,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleA_3_20200618,Sample A,500,,N406+NRM604,,,,14,2020/6/12,,,,PolyA,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_1_20200618,Sample B,500,,N406+NRM604,,,,14,2020/6/12,,,,PolyA,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_2_20200618,Sample B,500,,N406+NRM604,,,,14,2020/6/12,,,,PolyA,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_PolyA_BGI_SampleB_3_20200618,Sample B,500,,N406+NRM604,,,,14,2020/6/12,,,,PolyA,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_PolyA_VAZ_SampleA_1_20200612,Sample A,,,NEXTFLEX Rapid Directional RNA-Seq Kit 2.0,,,,,2020/2/5,ERCC Mix 1,,,PolyA,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_PolyA_VAZ_SampleA_2_20200612,Sample A,,,NEXTFLEX Rapid Directional RNA-Seq Kit 2.0,,,,,2020/2/5,ERCC Mix 1,,,PolyA,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_PolyA_VAZ_SampleA_3_20200612,Sample A,,,NEXTFLEX Rapid Directional RNA-Seq Kit 2.0,,,,,2020/2/5,ERCC Mix 1,,,PolyA,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_PolyA_VAZ_SampleB_1_20200612,Sample B,,,NEXTFLEX Rapid Directional RNA-Seq Kit 2.0,,,,,2020/2/5,ERCC Mix 2,,,PolyA,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_PolyA_VAZ_SampleB_2_20200612,Sample B,,,NEXTFLEX Rapid Directional RNA-Seq Kit 2.0,,,,,2020/2/5,ERCC Mix 2,,,PolyA,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_PolyA_VAZ_SampleB_3_20200612,Sample B,,,NEXTFLEX Rapid Directional RNA-Seq Kit 2.0,,,,,2020/2/5,ERCC Mix 2,,,PolyA,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_RiboZero_BGI_SampleA_1_20200618,Sample A,,,,,,,,NA,,,,RiboDepletion,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_RiboZero_BGI_SampleA_2_20200618,Sample A,,,,,,,,NA,,,,RiboDepletion,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_RiboZero_BGI_SampleA_3_20200618,Sample A,,,,,,,,NA,,,,RiboDepletion,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_RiboZero_BGI_SampleB_1_20200618,Sample B,,,,,,,,NA,,,,RiboDepletion,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_RiboZero_BGI_SampleB_2_20200618,Sample B,,,,,,,,NA,,,,RiboDepletion,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_RiboZero_BGI_SampleB_3_20200618,Sample B,,,,,,,,NA,,,,RiboDepletion,Quartet_RNA,,,BGI
library_Quartet_RNA_BGI_BGI2000_RiboZero_VAZ_SampleA_1_20200612,Sample A,,,MGIEasy rRNA(32 RXN),,,,14,2020/6/18,,,,RiboDepletion,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_RiboZero_VAZ_SampleA_2_20200612,Sample A,,,MGIEasy rRNA(32 RXN),,,,14,2020/6/18,,,,RiboDepletion,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_RiboZero_VAZ_SampleA_3_20200612,Sample A,,,MGIEasy rRNA(32 RXN),,,,14,2020/6/18,,,,RiboDepletion,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_RiboZero_VAZ_SampleB_1_20200612,Sample B,,,MGIEasy rRNA(32 RXN),,,,14,2020/6/18,,,,RiboDepletion,Quartet_RNA,,,VAZ
library_Quartet_RNA_BGI_BGI2000_RiboZero_VAZ_SampleB_2_20200612,Sample B,,,MGIEasy rRNA(32 RXN),,,,14,2020/6/18,,,,RiboDepletion,Quartet_RNA,,,VAZ
