library_id,rm_id,input_ng,enrich_kit,preparation_kit,fragment_method,fragment_selection,fragment_range,pcr_cycle,preparation_date,spike_in,qc_concentration,qc_size,preparation_method,experiment,batch,preparation_site,stranded
library_GSM1156797,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156798,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156799,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156800,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156801,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156802,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156803,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156804,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156805,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156806,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156807,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156808,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156809,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156810,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156811,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156812,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156813,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156814,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156815,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156816,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156817,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156818,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156819,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156820,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156821,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156822,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156823,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156824,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156825,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156826,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156827,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156828,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
