sequencing_id,library_id,site,platform,method,index_sequence,flowcell_id,lane_no,run_date,library_layout,run_year
sequence_CBCGA_L1_24_sampleA_20201106,library_CBCGA_L1_24_sampleA_20201106,FDU,Illumina NovaSeq 6000,,,,,2020/11/6,PAIRED,2020
sequence_CBCGA_L2_24_sampleB_20201106,library_CBCGA_L2_24_sampleB_20201106,FDU,Illumina NovaSeq 6000,,,,,2020/11/6,PAIRED,2020
sequence_CBCGA_L26_32_MAQC_A_20210308,library_CBCGA_L26_32_MAQC_A_20210308,FDU,Illumina NovaSeq 6000,,,,,2021/3/8,PAIRED,2021
sequence_CBCGA_L27_32_MAQC_B_20210308,library_CBCGA_L27_32_MAQC_B_20210308,FDU,Illumina NovaSeq 6000,,,,,2021/3/8,PAIRED,2021
sequence_CBCGA_L28_27_MAQC_A_20210308,library_CBCGA_L28_27_MAQC_A_20210308,FDU,Illumina NovaSeq 6000,,,,,2021/3/8,PAIRED,2021
sequence_CBCGA_L29_32_MAQCA_20210513,library_CBCGA_L29_32_MAQCA_20210513,FDU,Illumina NovaSeq 6000,,,,,2021/5/13,PAIRED,2021
sequence_CBCGA_L31_29_MAQCA_20210513,library_CBCGA_L31_29_MAQCA_20210513,FDU,Illumina NovaSeq 6000,,,,,2021/5/13,PAIRED,2021
sequence_CBCGA_L30_32_MAQC_B_20210513,library_CBCGA_L30_32_MAQC_B_20210513,FDU,Illumina NovaSeq 6000,,,,,2021/5/13,PAIRED,2021
sequence_CBCGA_L5_32_MAQCA_20201227,library_CBCGA_L5_32_MAQCA_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L6_32_MAQCB_20201227,library_CBCGA_L6_32_MAQCB_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L11_32_MAQCA_20201227,library_CBCGA_L11_32_MAQCA_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L12_32_MAQCB_20201227,library_CBCGA_L12_32_MAQCB_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L13_32_MAQCA_20201227,library_CBCGA_L13_32_MAQCA_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L3_24_MAQCA_20210112,library_CBCGA_L3_24_MAQCA_20210112,FDU,Illumina NovaSeq 6000,,,,,2021/1/12,PAIRED,2021
sequence_CBCGA_L4_24_MAQCB_20210112,library_CBCGA_L4_24_MAQCB_20210112,FDU,Illumina NovaSeq 6000,,,,,2021/1/12,PAIRED,2021
sequence_CBCGA_L7_32_MAQCA_20210112,library_CBCGA_L7_32_MAQCA_20210112,FDU,Illumina NovaSeq 6000,,,,,2021/1/12,PAIRED,2021
sequence_CBCGA_L8_32_MAQCB_20210112,library_CBCGA_L8_32_MAQCB_20210112,FDU,Illumina NovaSeq 6000,,,,,2021/1/12,PAIRED,2021
sequence_CBCGA_L9_32_MAQCA_20210112,library_CBCGA_L9_32_MAQCA_20210112,FDU,Illumina NovaSeq 6000,,,,,2021/1/12,PAIRED,2021
sequence_CBCGA_L10_32_MAQCB_20210112,library_CBCGA_L10_32_MAQCB_20210112,FDU,Illumina NovaSeq 6000,,,,,2021/1/12,PAIRED,2021
sequence_CBCGA_L15_32_MAQC_A_20201227,library_CBCGA_L15_32_MAQC_A_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L16_32_MAQC_B_20201227,library_CBCGA_L16_32_MAQC_B_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L17_32_MAQC_A_20201227,library_CBCGA_L17_32_MAQC_A_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L18_32_MAQC_B_20201227,library_CBCGA_L18_32_MAQC_B_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L20_32_MAQC_B_20201230,library_CBCGA_L20_32_MAQC_B_20201230,FDU,Illumina NovaSeq 6000,,,,,2020/12/30,PAIRED,2020
sequence_CBCGA_L23_32_MAQC_A_20201227,library_CBCGA_L23_32_MAQC_A_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L24_32_MAQC_B_20201227,library_CBCGA_L24_32_MAQC_B_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L25_25_MAQC_A_20201227,library_CBCGA_L25_25_MAQC_A_20201227,FDU,Illumina NovaSeq 6000,,,,,2020/12/27,PAIRED,2020
sequence_CBCGA_L19_32_MAQC_A_20201226,library_CBCGA_L19_32_MAQC_A_20201226,FDU,Illumina NovaSeq 6000,,,,,2020/12/26,PAIRED,2020
sequence_CBCGA_L21_32_MAQC_A_20201226,library_CBCGA_L21_32_MAQC_A_20201226,FDU,Illumina NovaSeq 6000,,,,,2020/12/26,PAIRED,2020
sequence_CBCGA_L22_32_MAQC_B_20201226,library_CBCGA_L22_32_MAQC_B_20201226,FDU,Illumina NovaSeq 6000,,,,,2020/12/26,PAIRED,2020
