sequencing_id,library_id,site,platform,method,index_sequence,flowcell_id,lane_no,run_date,library_layout,run_year
sequence_Quartet_4family_SA_3_20201104,library_Quartet_4family_SA_3_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SA_1_20201104,library_Quartet_4family_SA_1_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SA_2_20201104,library_Quartet_4family_SA_2_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SA_4_20201104,library_Quartet_4family_SA_4_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SB_4_20201104,library_Quartet_4family_SB_4_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SB_3_20201104,library_Quartet_4family_SB_3_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SB_1_20201104,library_Quartet_4family_SB_1_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_Quartet_4family_SB_2_20201104,library_Quartet_4family_SB_2_20201104,FDU,Illumina NovaSeq 6000,,,,,2020/11/4,PAIRED,2020
sequence_FDUVAZ_FV1_5_SampleA_1_20210508,library_FDUVAZ_FV1_5_SampleA_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV1_11_SampleA_2_20210508,library_FDUVAZ_FV1_11_SampleA_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV1_17_SampleA_3_20210508,library_FDUVAZ_FV1_17_SampleA_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV2_5_SampleA_1_20210508,library_FDUVAZ_FV2_5_SampleA_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV2_11_SampleA_2_20210508,library_FDUVAZ_FV2_11_SampleA_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV2_17_SampleA_3_20210508,library_FDUVAZ_FV2_17_SampleA_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV3_5_SampleA_1_20210508,library_FDUVAZ_FV3_5_SampleA_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV3_11_SampleA_2_20210508,library_FDUVAZ_FV3_11_SampleA_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV3_17_SampleA_3_20210508,library_FDUVAZ_FV3_17_SampleA_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV4_5_SampleA_1_20210508,library_FDUVAZ_FV4_5_SampleA_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV4_11_SampleA_2_20210508,library_FDUVAZ_FV4_11_SampleA_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV4_17_SampleA_3_20210508,library_FDUVAZ_FV4_17_SampleA_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV5_5_SampleA_1_20210508,library_FDUVAZ_FV5_5_SampleA_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV5_11_SampleA_2_20210508,library_FDUVAZ_FV5_11_SampleA_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV5_17_SampleA_3_20210508,library_FDUVAZ_FV5_17_SampleA_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF1_5_SampleA_1_20210508,library_FDUVAZ_VF1_5_SampleA_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF1_11_SampleA_2_20210508,library_FDUVAZ_VF1_11_SampleA_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF1_17_SampleA_3_20210508,library_FDUVAZ_VF1_17_SampleA_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF2_5_SampleA_1_20210508,library_FDUVAZ_VF2_5_SampleA_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF2_11_SampleA_2_20210508,library_FDUVAZ_VF2_11_SampleA_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF2_17_SampleA_3_20210508,library_FDUVAZ_VF2_17_SampleA_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF3_5_SampleA_1_20210508,library_FDUVAZ_VF3_5_SampleA_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF3_11_SampleA_2_20210508,library_FDUVAZ_VF3_11_SampleA_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF3_17_SampleA_3_20210508,library_FDUVAZ_VF3_17_SampleA_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF4_5_SampleA_1_20210508,library_FDUVAZ_VF4_5_SampleA_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF4_11_SampleA_2_20210508,library_FDUVAZ_VF4_11_SampleA_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF4_17_SampleA_3_20210508,library_FDUVAZ_VF4_17_SampleA_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF5_5_SampleA_1_20210508,library_FDUVAZ_VF5_5_SampleA_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF5_11_SampleA_2_20210508,library_FDUVAZ_VF5_11_SampleA_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF5_17_SampleA_3_20210508,library_FDUVAZ_VF5_17_SampleA_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV1_6_SampleB_1_20210508,library_FDUVAZ_FV1_6_SampleB_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV1_12_SampleB_2_20210508,library_FDUVAZ_FV1_12_SampleB_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV1_18_SampleB_3_20210508,library_FDUVAZ_FV1_18_SampleB_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV2_6_SampleB_1_20210508,library_FDUVAZ_FV2_6_SampleB_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV2_12_SampleB_2_20210508,library_FDUVAZ_FV2_12_SampleB_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV2_18_SampleB_3_20210508,library_FDUVAZ_FV2_18_SampleB_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV3_6_SampleB_1_20210508,library_FDUVAZ_FV3_6_SampleB_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV3_12_SampleB_2_20210508,library_FDUVAZ_FV3_12_SampleB_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV3_18_SampleB_3_20210508,library_FDUVAZ_FV3_18_SampleB_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV4_6_SampleB_1_20210508,library_FDUVAZ_FV4_6_SampleB_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV4_12_SampleB_2_20210508,library_FDUVAZ_FV4_12_SampleB_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV4_18_SampleB_3_20210508,library_FDUVAZ_FV4_18_SampleB_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV5_6_SampleB_1_20210508,library_FDUVAZ_FV5_6_SampleB_1_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV5_12_SampleB_2_20210508,library_FDUVAZ_FV5_12_SampleB_2_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_FV5_18_SampleB_3_20210508,library_FDUVAZ_FV5_18_SampleB_3_20210508,FDU,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF1_6_SampleB_1_20210508,library_FDUVAZ_VF1_6_SampleB_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF1_12_SampleB_2_20210508,library_FDUVAZ_VF1_12_SampleB_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF1_18_SampleB_3_20210508,library_FDUVAZ_VF1_18_SampleB_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF2_6_SampleB_1_20210508,library_FDUVAZ_VF2_6_SampleB_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF2_12_SampleB_2_20210508,library_FDUVAZ_VF2_12_SampleB_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF2_18_SampleB_3_20210508,library_FDUVAZ_VF2_18_SampleB_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF3_6_SampleB_1_20210508,library_FDUVAZ_VF3_6_SampleB_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF3_12_SampleB_2_20210508,library_FDUVAZ_VF3_12_SampleB_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF3_18_SampleB_3_20210508,library_FDUVAZ_VF3_18_SampleB_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF4_6_SampleB_1_20210508,library_FDUVAZ_VF4_6_SampleB_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF4_12_SampleB_2_20210508,library_FDUVAZ_VF4_12_SampleB_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF4_18_SampleB_3_20210508,library_FDUVAZ_VF4_18_SampleB_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF5_6_SampleB_1_20210508,library_FDUVAZ_VF5_6_SampleB_1_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF5_12_SampleB_2_20210508,library_FDUVAZ_VF5_12_SampleB_2_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
sequence_FDUVAZ_VF5_18_SampleB_3_20210508,library_FDUVAZ_VF5_18_SampleB_3_20210508,VAZ,Illumina NovaSeq 6000,,,,,2021/5/8,PAIRED,2021
