sequencing_id,library_id,site,platform,method,index_sequence,flowcell_id,lane_no,run_date,library_layout,run_year
sequence_AFX_1_A1,library_AFX_1_A1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_A2,library_AFX_1_A2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_A3,library_AFX_1_A3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_A4,library_AFX_1_A4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_A5,library_AFX_1_A5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_B1,library_AFX_1_B1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_B2,library_AFX_1_B2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_B3,library_AFX_1_B3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_B4,library_AFX_1_B4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_B5,library_AFX_1_B5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_C1,library_AFX_1_C1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_C2,library_AFX_1_C2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_C3,library_AFX_1_C3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_C4,library_AFX_1_C4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_C5,library_AFX_1_C5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_D1,library_AFX_1_D1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_D2,library_AFX_1_D2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_D3,library_AFX_1_D3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_D4,library_AFX_1_D4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_1_D5,library_AFX_1_D5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_A1,library_AFX_2_A1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_A2,library_AFX_2_A2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_A3,library_AFX_2_A3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_A4,library_AFX_2_A4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_A5,library_AFX_2_A5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_B1,library_AFX_2_B1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_B2,library_AFX_2_B2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_B3,library_AFX_2_B3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_B4,library_AFX_2_B4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_B5,library_AFX_2_B5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_C1,library_AFX_2_C1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_C2,library_AFX_2_C2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_C3,library_AFX_2_C3,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_C4,library_AFX_2_C4,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_C5,library_AFX_2_C5,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_D1,library_AFX_2_D1,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
sequence_AFX_2_D2,library_AFX_2_D2,AFX,Affymetrix Human Genome U133 Plus 2.0 GeneChip,,,,,2006/7/19,,2006
